Cesta,Lokacija,Smer,Št. vozil [N/h],Hitrost [km/h],Razmik [s],Zasedenost [%],Čas,Stanje
AC-A1,Čebulovica AC,Gabrk - Senožeče (p),0,0,0.0,0.0,05.06.2026 02:05:00,Ni podatka
AC-A1,Čebulovica AC,Gabrk - Senožeče (v),0,0,0.0,0.0,05.06.2026 02:05:00,Ni podatka
AC-A1,Čebulovica AC,Senožeče - Gabrk (p),0,0,0.0,0.0,05.06.2026 02:05:00,Ni prometa
AC-A1,Čebulovica AC,Senožeče - Gabrk (v),84,101,45.4,1.0,05.06.2026 02:05:00,Normalen promet
AC-A1,Čebulovica AC,Gabrk - Senožeče (p),0,0,0.0,0.0,05.06.2026 02:10:00,Ni podatka
AC-A1,Čebulovica AC,Gabrk - Senožeče (v),0,0,0.0,0.0,05.06.2026 02:10:00,Ni podatka
AC-A1,Čebulovica AC,Senožeče - Gabrk (p),12,160,1065.0,0.1,05.06.2026 02:10:00,Normalen promet
AC-A1,Čebulovica AC,Senožeče - Gabrk (v),120,101,27.4,1.8,05.06.2026 02:10:00,Normalen promet
AC-A1,Čebulovica AC,Gabrk - Senožeče (p),0,0,0.0,0.0,05.06.2026 02:15:00,Ni podatka
AC-A1,Čebulovica AC,Gabrk - Senožeče (v),0,0,0.0,0.0,05.06.2026 02:15:00,Ni podatka
AC-A1,Čebulovica AC,Senožeče - Gabrk (p),0,0,0.0,0.0,05.06.2026 02:15:00,Normalen promet
AC-A1,Čebulovica AC,Senožeče - Gabrk (v),120,99,33.4,1.7,05.06.2026 02:15:00,Normalen promet
AC-A1,Čebulovica AC,Gabrk - Senožeče (p),0,0,0.0,0.0,05.06.2026 02:20:00,Ni podatka
AC-A1,Čebulovica AC,Gabrk - Senožeče (v),0,0,0.0,0.0,05.06.2026 02:20:00,Ni podatka
AC-A1,Čebulovica AC,Senožeče - Gabrk (p),0,0,0.0,0.0,05.06.2026 02:20:00,Ni prometa
AC-A1,Čebulovica AC,Senožeče - Gabrk (v),48,103,64.0,0.6,05.06.2026 02:20:00,Normalen promet
AC-A1,Čebulovica AC,Gabrk - Senožeče (p),0,0,0.0,0.0,05.06.2026 02:25:00,Ni podatka
AC-A1,Čebulovica AC,Gabrk - Senožeče (v),0,0,0.0,0.0,05.06.2026 02:25:00,Ni podatka
AC-A1,Čebulovica AC,Senožeče - Gabrk (p),0,0,0.0,0.0,05.06.2026 02:25:00,Ni prometa
AC-A1,Čebulovica AC,Senožeče - Gabrk (v),96,108,41.3,1.1,05.06.2026 02:25:00,Normalen promet
AC-A1,Čebulovica AC,Gabrk - Senožeče (p),0,0,0.0,0.0,05.06.2026 02:30:00,Ni podatka
AC-A1,Čebulovica AC,Gabrk - Senožeče (v),0,0,0.0,0.0,05.06.2026 02:30:00,Ni podatka
AC-A1,Čebulovica AC,Senožeče - Gabrk (p),0,0,0.0,0.0,05.06.2026 02:30:00,Ni prometa
AC-A1,Čebulovica AC,Senožeče - Gabrk (v),132,103,23.8,1.9,05.06.2026 02:30:00,Normalen promet
AC-A1,Čebulovica AC,Gabrk - Senožeče (p),0,0,0.0,0.0,05.06.2026 02:35:00,Ni podatka
AC-A1,Čebulovica AC,Gabrk - Senožeče (v),0,0,0.0,0.0,05.06.2026 02:35:00,Ni podatka
AC-A1,Čebulovica AC,Senožeče - Gabrk (p),0,0,0.0,0.0,05.06.2026 02:35:00,Ni prometa
AC-A1,Čebulovica AC,Senožeče - Gabrk (v),156,100,24.9,2.3,05.06.2026 02:35:00,Normalen promet
AC-A1,Čebulovica AC,Gabrk - Senožeče (p),0,0,0.0,0.0,05.06.2026 02:40:00,Ni podatka
AC-A1,Čebulovica AC,Gabrk - Senožeče (v),0,0,0.0,0.0,05.06.2026 02:40:00,Ni podatka
AC-A1,Čebulovica AC,Senožeče - Gabrk (p),0,0,0.0,0.0,05.06.2026 02:40:00,Ni prometa
AC-A1,Čebulovica AC,Senožeče - Gabrk (v),72,108,54.1,0.8,05.06.2026 02:40:00,Normalen promet
AC-A1,Čebulovica AC,Gabrk - Senožeče (p),0,0,0.0,0.0,05.06.2026 02:45:00,Ni podatka
AC-A1,Čebulovica AC,Gabrk - Senožeče (v),0,0,0.0,0.0,05.06.2026 02:45:00,Ni podatka
AC-A1,Čebulovica AC,Senožeče - Gabrk (p),0,0,0.0,0.0,05.06.2026 02:45:00,Ni prometa
AC-A1,Čebulovica AC,Senožeče - Gabrk (v),108,103,31.4,1.5,05.06.2026 02:45:00,Normalen promet
AC-A1,Čebulovica AC,Gabrk - Senožeče (p),0,0,0.0,0.0,05.06.2026 02:50:00,Ni podatka
AC-A1,Čebulovica AC,Gabrk - Senožeče (v),0,0,0.0,0.0,05.06.2026 02:50:00,Ni podatka
AC-A1,Čebulovica AC,Senožeče - Gabrk (p),0,0,0.0,0.0,05.06.2026 02:50:00,Ni prometa
AC-A1,Čebulovica AC,Senožeče - Gabrk (v),60,119,53.4,0.4,05.06.2026 02:50:00,Normalen promet
AC-A1,Čebulovica AC,Gabrk - Senožeče (p),0,0,0.0,0.0,05.06.2026 02:55:00,Ni podatka
AC-A1,Čebulovica AC,Gabrk - Senožeče (v),0,0,0.0,0.0,05.06.2026 02:55:00,Ni podatka
AC-A1,Čebulovica AC,Senožeče - Gabrk (p),12,120,2821.4,0.1,05.06.2026 02:55:00,Normalen promet
AC-A1,Čebulovica AC,Senožeče - Gabrk (v),72,104,50.8,0.8,05.06.2026 02:55:00,Normalen promet
AC-A1,Čebulovica AC,Gabrk - Senožeče (p),0,0,0.0,0.0,05.06.2026 03:00:00,Ni podatka
AC-A1,Čebulovica AC,Gabrk - Senožeče (v),0,0,0.0,0.0,05.06.2026 03:00:00,Ni podatka
AC-A1,Čebulovica AC,Senožeče - Gabrk (p),12,120,90.3,0.1,05.06.2026 03:00:00,Normalen promet
AC-A1,Čebulovica AC,Senožeče - Gabrk (v),108,95,31.6,2.0,05.06.2026 03:00:00,Normalen promet
AC-A1,Čebulovica AC,Gabrk - Senožeče (p),0,0,0.0,0.0,05.06.2026 03:05:00,Ni podatka
